,Property_ID,Property_Name,Property_Type,Property_Purpose,Baths,Bedrooms,City,Property_Location,Area,Area_Name,Properity_Price,Date_Added
0,Flat 42578653,One Bed Apartment Available For rent in Capital Residencia E11,Flat,For Rent,1,1,Islamabad,"E-11, Islamabad, Islamabad Capital",3.1 ,E-11,50000,28/12/2022
1,Flat 42875102,Brand New Two bed Apartment Available for rent in Capital Residencia E11,Flat,For Rent,2,2,Islamabad,"E-11, Islamabad, Islamabad Capital",4 ,E-11,55000,28/12/2022
2,Flat 42862875,Brand new Furnished Flat For Girls Hostel in Sector H-13 Islamabad,Flat,For Rent,2,2,Islamabad,"H-13, Islamabad, Islamabad Capital",3.9 ,H-13,33000,28/12/2022
3,Flat 41919247,One Bed Luxury Furnished Available For Rent In E-11 Islamabad.,Flat,For Rent,1,1,Islamabad,"E-11, Islamabad, Islamabad Capital",3.8 ,E-11,65000,28/12/2022
4,Flat 43003804,Gorgeous 1050 Square Feet Flat For rent Available In MPCHS - Multi Gardens,Flat,For Rent,-,-,Islamabad,"B-17, Islamabad, Islamabad Capital",4.7 ,B-17,50000,28/12/2022
5,Flat 43003806,Your Ideal 1400 Square Feet Flat Has Just Become Available In MPCHS - Multi Gardens,Flat,For Rent,-,-,Islamabad,"B-17, Islamabad, Islamabad Capital",6.2 ,B-17,38000,28/12/2022
6,Flat 43003808,In Islamabad You Can Find The Perfect Flat For rent,Flat,For Rent,-,-,Islamabad,"B-17, Islamabad, Islamabad Capital",4.9 ,B-17,28000,28/12/2022
7,Flat 43003810,In Islamabad You Can Find The Perfect Flat For rent,Flat,For Rent,-,-,Islamabad,"B-17, Islamabad, Islamabad Capital",4.6 ,B-17,30000,28/12/2022
8,Flat 43191681,Highly-Desirable 1600 Square Feet Flat Available In E-11,Flat,For Rent,3,3,Islamabad,"E-11, Islamabad, Islamabad Capital",7.1 ,E-11,200000,28/12/2022
9,Flat 43191680,Centrally Located Flat In E-11 Is Available For rent,Flat,For Rent,3,3,Islamabad,"E-11, Islamabad, Islamabad Capital",7.1 ,E-11,200000,28/12/2022
10,Flat 43191678,1250 Square Feet Flat In Central E-11 For rent,Flat,For Rent,2,2,Islamabad,"E-11, Islamabad, Islamabad Capital",5.6 ,E-11,100000,28/12/2022
11,Flat 43191677,In E-11 1600 Square Feet Flat For rent,Flat,For Rent,3,3,Islamabad,"E-11, Islamabad, Islamabad Capital",7.1 ,E-11,200000,28/12/2022
12,Flat 43043343,"245 Square Feet Flat Available For Sale In Top City 1, Top City 1",Flat,For Sale,1,1,Islamabad,"Top City 1, Islamabad, Islamabad Capital",1.1 ,Top City 1,7900000,27/12/2022
13,Flat 42653569,Ideally Located Flat Of 1545 Square Feet Is Available For sale In Islamabad,Flat,For Sale,3,3,Islamabad,"G-15, Islamabad, Islamabad Capital",6.9 ,G-15,20000000,27/12/2022
14,Flat 43035121,"Luxury One Bedroom apartment for sale in Goldcrest Highlife-3 near Giga Mall, WTC, Defence Residency DHA-2 Islamabad",Flat,For Sale,1,1,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",2.1 ,DHA Defence,4500000,27/12/2022
15,Flat 43032444,Ready 3 Bed Apartment Golf View Apartment For Sale In Eighteen Islamabad,Flat,For Sale,4,3,Islamabad,"Kashmir Highway, Islamabad, Islamabad Capital",8.9 ,Kashmir Highway,50000000,27/12/2022
16,Flat 42837303,THREE BED BRAND NEW LUXURY APARTMENT FOR SALE.,Flat,For Sale,3,3,Islamabad,"G-15, Islamabad, Islamabad Capital",6.9 ,G-15,20000000,27/12/2022
17,Flat 42722006,Prime Location Flat Of 2100 Square Feet In The Arch Is Available,Flat,For Sale,4,3,Islamabad,"G-11, Islamabad, Islamabad Capital",9.3 ,G-11,40000000,26/12/2022
18,Flat 41934827,J7 Emporium B17 Islamabad,Flat,For Sale,1,1,Islamabad,"B-17, Islamabad, Islamabad Capital",3 ,B-17,8200000,26/12/2022
19,Flat 43033281,Prime Location 1350 Square Feet Flat In Stunning E-11/4 Is Available For sale,Flat,For Sale,2,2,Islamabad,"E-11, Islamabad, Islamabad Capital",6 ,E-11,20000000,25/12/2022
20,Flat 42398493,3 Bedroom Apartment For Sale,Flat,For Sale,3,3,Islamabad,"E-11, Islamabad, Islamabad Capital",4.9 ,E-11,20000000,25/12/2022
21,Flat 43033229,Prime Location Apollo Towers Flat Sized 1000 Square Feet Is Available,Flat,For Sale,2,2,Islamabad,"E-11, Islamabad, Islamabad Capital",4.4 ,E-11,20000000,25/12/2022
22,Flat 43177814,582 Square Feet Flat For sale In Beautiful Top City 1,Flat,For Sale,-,-,Islamabad,"Top City 1, Islamabad, Islamabad Capital",2.6 ,Top City 1,30000000,28/12/2022
23,Flat 43177960,"Property For sale In Top City 1 Top City 1 Is Available Under Rs. 20,370,000",Flat,For Sale,-,-,Islamabad,"Top City 1, Islamabad, Islamabad Capital",2.6 ,Top City 1,30000000,28/12/2022
24,Flat 40967399,2 Bed Apartment For Sale Fiver Star Residence In A Installment Plan,Flat,For Sale,2,2,Islamabad,"G-11, Islamabad, Islamabad Capital",7.2 ,G-11,40000000,28/12/2022
25,Flat 42028735,4   Bed Corner Apartment For Sale,Flat,For Sale,4,4,Islamabad,"F-11, Islamabad, Islamabad Capital",14.2 ,F-11,50000000,28/12/2022
26,Flat 39419559,Promising 973 Sq Ft Flat Available In 10739,Flat,For Sale,1,1,Islamabad,"Blue Area, Islamabad, Islamabad Capital",4.3 ,Blue Area,40000000,28/12/2022
27,Flat 40966339,1bed Apartment For Sale In Prime Location Blue Area,Flat,For Sale,1,1,Islamabad,"Blue Area, Islamabad, Islamabad Capital",4.3 ,Blue Area,40000000,28/12/2022
28,Flat 36593090,3 Bed  Flat  For Sale In F11,Flat,For Sale,3,3,Islamabad,"F-11, Islamabad, Islamabad Capital",8.9 ,F-11,40000000,28/12/2022
29,Flat 43191890,Ready To sale A Flat 1600 Square Feet In E-11 E-11,Flat,For Sale,2,2,Islamabad,"E-11, Islamabad, Islamabad Capital",7.1 ,E-11,30000000,28/12/2022
30,Flat 43191889,"2000 Square Feet Flat For sale In Rs. 35,000,000 Only",Flat,For Sale,2,2,Islamabad,"E-11, Islamabad, Islamabad Capital",8.9 ,E-11,40000000,28/12/2022
31,Flat 43191888,1400 Square Feet Flat Is Available For sale,Flat,For Sale,2,2,Islamabad,"E-11, Islamabad, Islamabad Capital",6.2 ,E-11,20000000,28/12/2022
32,Flat 43191887,Buying A Flat In E-11?,Flat,For Sale,1,1,Islamabad,"E-11, Islamabad, Islamabad Capital",2.7 ,E-11,9000000,28/12/2022
33,Flat 43191886,Flat Of 1200 Square Feet Is Available For sale,Flat,For Sale,2,2,Islamabad,"E-11, Islamabad, Islamabad Capital",5.3 ,E-11,20000000,28/12/2022
34,Flat 43003769,MPCHS - Multi Gardens 750 Square Feet Flat Up For sale,Flat,For Sale,-,-,Islamabad,"B-17, Islamabad, Islamabad Capital",3.3 ,B-17,4500000,28/12/2022
35,Flat 43003770,A Stunning Flat Is Up For Grabs In MPCHS - Multi Gardens Islamabad,Flat,For Sale,-,-,Islamabad,"B-17, Islamabad, Islamabad Capital",6.2 ,B-17,10000000,28/12/2022
36,Flat 43003771,This Is Your Chance To Buy Flat In Islamabad,Flat,For Sale,-,-,Islamabad,"B-17, Islamabad, Islamabad Capital",4.7 ,B-17,6500000,28/12/2022
37,House 42499326,Sector A 10 Marla Brand New House For Sale,House,For Sale,5,5,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",10 ,Bahria Town,50000000,22/12/2022
38,House 42626963,Sector A Kanal House For Sale,House,For Sale,6,7,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",20.0,Bahria Town,80000000,22/12/2022
39,House 42650846,Sector C3 One Kanal Brand New House For Sale,House,For Sale,6,6,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",20.0,Bahria Town,80000000,22/12/2022
40,House 40978535,Sector N 8 Marla House For Sale,House,For Sale,5,5,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",8 ,Bahria Town,40000000,22/12/2022
41,House 42535582,Half Kanal luxury villa Available for sale in Eighteen Islamabad,House,For Sale,5,4,Islamabad,"Kashmir Highway, Islamabad, Islamabad Capital",10 ,Kashmir Highway,50000000,27/12/2022
42,House 40980121,Double Storey House For Sale In C Block Cbr Town Phase1 Islamabad,House,For Sale,6,5,Islamabad,"CBR Town, Islamabad, Islamabad Capital",7 ,CBR Town,30000000,27/12/2022
43,House 43153060,Prime Location 10 Marla House For sale In G-13/2,House,For Sale,6,6,Islamabad,"G-13, Islamabad, Islamabad Capital",10 ,G-13,70000000,27/12/2022
44,House 42896644,30x60 Main 70 Ft Road Used House Available For Sale In G14/4 Islamabad.,House,For Sale,4,4,Islamabad,"G-14, Islamabad, Islamabad Capital",7 ,G-14,40000000,27/12/2022
45,House 42628256,5 Marla Brand New House In Bahria Enclave Islamabad,House,For Sale,4,3,Islamabad,"Bahria Town, Islamabad, Islamabad Capital",5 ,Bahria Town,30000000,26/12/2022
