Property_Type,Property_Purpose,Baths,Bedrooms,City,Area,Area_Name,Property_Price
Flat,For Sale,1,1,Lahore,2.1,Bahria Town,3900000
Flat,For Sale,1,5,Lahore,2.2,Raiwind Road,6000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,3,3,Lahore,10.0,Askari,30000000
Flat,For Sale,3,3,Lahore,8.2,Shanghai Road,30000000
Flat,For Sale,2,2,Lahore,5.6,Shanghai Road,20000000
Flat,For Sale,6,4,Lahore,12.0,Askari,40000000
House,For Sale,6,5,Lahore,20.0,DHA Defence,80000000
House,For Sale,6,5,Lahore,20.0,DHA Defence,70000000
House,For Sale,4,3,Lahore,5.0,DHA Defence,20000000
House,For Sale,6,8,Lahore,40.0,Bahria Town,110000000
House,For Sale,7,6,Lahore,40.0,DHA Defence,140000000
House,For Sale,6,5,Lahore,20.0,DHA Defence,90000000
House,For Sale,6,5,Lahore,10.0,DHA Defence,60000000
House,For Sale,4,3,Lahore,5.0,Bahria Orchard,20000000
House,For Sale,6,6,Lahore,20.0,Nasheman-e-Iqbal,60000000
House,For Sale,6,6,Lahore,10.2,GT Road,40000000
House,For Sale,6,5,Lahore,10.0,Nasheman-e-Iqbal,40000000
House,For Sale,4,4,Lahore,5.0,Nasheman-e-Iqbal,20000000
House,For Sale,6,7,Lahore,40.0,NFC 1,130000000
House,For Sale,3,3,Lahore,3.0,Al Rehman Garden,7800000
House,For Sale,6,5,Lahore,20.0,State Life Housing Society,50000000
House,For Sale,3,3,Lahore,3.0,Al Rehman Garden,8000000
House,For Sale,4,4,Lahore,6.0,Al Rehman Garden,20000000
House,For Sale,5,5,Lahore,8.0,DHA Defence,30000000
House,For Sale,5,5,Lahore,10.0,Jubilee Town,30000000
House,For Sale,4,3,Lahore,5.0,Green City,30000000
House,For Sale,5,5,Lahore,8.0,Bahria Orchard,30000000
House,For Sale,5,5,Lahore,8.0,Bahria Orchard,30000000
House,For Sale,5,5,Lahore,10.0,Jubilee Town,30000000
House,For Sale,5,5,Lahore,8.0,DHA Defence,30000000
House,For Sale,4,3,Lahore,5.0,Green City,30000000
House,For Rent,5,4,Lahore,10.0,Punjab Coop Housing Society,100000
House,For Rent,5,5,Lahore,10.0,Tariq Gardens,200000
House,For Rent,5,4,Lahore,10.0,DHA Defence,200000
House,For Rent,4,3,Lahore,5.0,DHA Defence,85000
House,For Rent,6,5,Lahore,20.0,DHA Defence,400000
House,For Rent,5,4,Lahore,5.0,Bahria Town,300000
House,For Rent,3,3,Lahore,20.0,Punjab Coop Housing Society,70000
House,For Rent,4,3,Lahore,10.0,Gulberg,200000
House,For Rent,2,2,Lahore,8.0,Gulberg,200000
House,For Rent,6,8,Lahore,12.0,Jail Road,300000
House,For Rent,4,3,Lahore,5.0,Bahria Town,70000
House,For Rent,6,5,Lahore,5.0,Canal Garden,55000
House,For Rent,4,4,Lahore,10.0,Askari,200000
House,For Rent,4,4,Lahore,10.7,Askari,200000
House,For Rent,5,3,Lahore,5.0,Bahria Town,65000
House,For Rent,7,6,Lahore,20.0,DHA Defence,700000
House,For Rent,4,4,Lahore,10.0,DHA Defence,200000
